61.160.247.63 - - [17/Sep/2017:09:20:33 +0200] "GET / HTTP/1.1" 200 477 "http://212.237.179.231:80" "Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1)"
188.182.160.189 - - [17/Sep/2017:11:48:25 +0200] "GET /test/readlog.php HTTP/1.1" 200 1224 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
188.182.160.189 - - [17/Sep/2017:11:48:26 +0200] "GET /favicon.ico HTTP/1.1" 404 507 "http://birkelan.no-ip.org/test/readlog.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
188.182.160.189 - - [17/Sep/2017:12:00:53 +0200] "GET /test/writelog.php?logtext=Obtain%20IP%20188.182.160.189 HTTP/1.1" 200 205 "-" "curl/7.35.0"
212.237.134.149 - - [17/Sep/2017:13:00:13 +0200] "GET /klassefest/ HTTP/1.1" 200 1566 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.0 Mobile/14G60 Safari/602.1"
212.237.134.149 - - [17/Sep/2017:13:00:13 +0200] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 537 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:13:00:16 +0200] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 524 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:13:00:16 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 528 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:13:00:16 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 516 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:13:00:16 +0200] "GET /favicon.ico HTTP/1.1" 404 507 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:13:00:17 +0200] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 536 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:13:00:17 +0200] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 524 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:13:00:17 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 528 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:13:00:18 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 516 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:13:00:19 +0200] "GET /favicon.ico HTTP/1.1" 404 507 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
179.153.102.103 - - [17/Sep/2017:13:20:08 +0200] "GET /cgi/common.cgi HTTP/1.0" 404 471 "-" "Wget(linux)"
179.153.102.103 - - [17/Sep/2017:13:20:09 +0200] "GET /stssys.htm HTTP/1.0" 404 467 "-" "Wget(linux)"
179.153.102.103 - - [17/Sep/2017:13:20:09 +0200] "GET / HTTP/1.0" 200 440 "-" "Wget(linux)"
179.153.102.103 - - [17/Sep/2017:13:20:10 +0200] "POST /command.php HTTP/1.0" 404 468 "-" "Wget(linux)"
